Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2020;agosto;Clinte 68;R$ 83;26;FRACIONADO
2020;outubro;Clinte 68;R$ 77;18;FRACIONADO
2020;dezembro;Clinte 68;R$ 80;17;FRACIONADO
2021;fevereiro;Clinte 68;R$ 99;21;FRACIONADO
2020;janeiro;Clinte 69;R$ 79;12;FRACIONADO
2020;fevereiro;Clinte 69;R$ 80;12;FRACIONADO
2020;março;Clinte 69;R$ 151;12;FRACIONADO
2020;abril;Clinte 69;R$ 149;8;FRACIONADO
2020;maio;Clinte 69;R$ 78;8;FRACIONADO
2020;junho;Clinte 69;R$ 154;12;FRACIONADO
2020;agosto;Clinte 69;R$ 160;28;FRACIONADO
2020;setembro;Clinte 69;R$ 165;36;FRACIONADO
2020;outubro;Clinte 69;R$ 79;8;FRACIONADO
2020;novembro;Clinte 69;R$ 161;28;FRACIONADO
2021;fevereiro;Clinte 69;R$ 81;4;FRACIONADO
2020;janeiro;Clinte 70;R$ 4.899;215;FRACIONADO
2020;fevereiro;Clinte 70;R$ 5.442;254;FRACIONADO
2020;março;Clinte 70;R$ 4.176;141;FRACIONADO
2020;abril;Clinte 70;R$ 4.022;171;FRACIONADO
2020;maio;Clinte 70;R$ 2.773;81;FRACIONADO
2020;junho;Clinte 70;R$ 2.596;109;FRACIONADO
2020;julho;Clinte 70;R$ 4.059;195;FRACIONADO
2020;agosto;Clinte 70;R$ 4.788;182;FRACIONADO
2020;setembro;Clinte 70;R$ 7.140;311;FRACIONADO
2020;outubro;Clinte 70;R$ 5.829;205;FRACIONADO
2020;novembro;Clinte 70;R$ 4.896;211;FRACIONADO
2020;dezembro;Clinte 70;R$ 4.376;221;FRACIONADO
2021;janeiro;Clinte 70;R$ 3.008;224;FRACIONADO
2021;fevereiro;Clinte 70;R$ 2.998;179;FRACIONADO
2021;março;Clinte 70;R$ 2.349;154;FRACIONADO
2020;junho;Clinte 71;R$ 55;48;FRACIONADO
2020;agosto;Clinte 71;R$ 58;35;FRACIONADO
2020;maio;Clinte 72;R$ 82;25;FRACIONADO
2020;novembro;Clinte 73;R$ 64;24;FRACIONADO
2020;julho;Clinte 74;R$ 99;15;FRACIONADO
2020;outubro;Clinte 74;R$ 487;108;FRACIONADO
2020;janeiro;Clinte 75;R$ 699;275;FRACIONADO
2020;fevereiro;Clinte 75;R$ 342;105;FRACIONADO
2020;março;Clinte 75;R$ 310;148;FRACIONADO
2020;abril;Clinte 75;R$ 100;60;FRACIONADO
2020;maio;Clinte 75;R$ 860;255;FRACIONADO
